Index,Emp ID,First Name,Middle Name,Last Name,Gender,Department,Salary,Salary Bins,Start Date,FTE,Employee type,Work location,Tenure,Work Type
1,PR00147,Minerva,,Ricardot,Male,Engineering,120000,Above 100K,2018-11-12 00:00:00,1,Permanent,Remote,7.75,Full Time
2,PR04686,Oona,,Donan,Female,Business Development,98000,50K-100K,2019-09-02 00:00:00,0.9,Permanent,"Seattle, USA",6.94,Part Time
3,SQ04612,Mick,,Spraberry,Female,Services,120000,Above 100K,2020-03-12 00:00:00,0.9,Permanent,Remote,6.42,Part Time
4,VT01803,Freddy,,Linford,Female,Training,93128.34,50K-100K,2018-03-05 00:00:00,1,Fixed Term,"Seattle, USA",8.44,Full Time
5,TN02749,Parasuramudu,,Jamakayala,Female,Training,57002.02,50K-100K,2018-04-02 00:00:00,0.7,Permanent,"Hyderabad, India",8.36,Part Time
6,SQ00144,Collen,,Dunbleton,Male,Engineering,118976.16,Above 100K,2020-10-16 00:00:00,1,Permanent,"Wellington, New Zealand",5.82,Full Time
7,PR04601,Yedukondalu,,Panditula,Missing,Support,104802.63,Above 100K,2021-11-02 00:00:00,1,Permanent,"Hyderabad, India",4.77,Full Time
8,SQ01854,Jessica,,Callcott,Female,Marketing,66017.18,50K-100K,2019-06-27 00:00:00,0.9,Permanent,Remote,7.13,Part Time
9,SQ00612,Leena,,Bruckshaw,Male,Research and Development,74279.01,50K-100K,2019-01-01 00:00:00,1,Permanent,"Wellington, New Zealand",7.61,Full Time
10,PR00419,Billi,,Fellgate,Female,Business Development,68980.52,50K-100K,2019-01-29 00:00:00,0.8,Permanent,Remote,7.53,Part Time
11,VT00578,Magnum,,Locksley,Female,Services,42314.39,Under 50K,2021-10-18 00:00:00,1,Fixed Term,Remote,4.81,Full Time
12,TN01281,Cletus,,McGarahan,Female,Engineering,114425.19,Above 100K,2020-01-27 00:00:00,1,Permanent,"Wellington, New Zealand",6.54,Full Time
13,PR04473,Wyn,,Treadger,Female,Business Development,69192.85,50K-100K,2021-04-19 00:00:00,1,Permanent,"Columbus, USA",5.31,Full Time
14,VT02417,Evangelina,,Lergan,Male,Support,61214.26,50K-100K,2018-03-12 00:00:00,1,Temporary,"Auckland, New Zealand",8.42,Full Time
15,SQ00691,Verla,,Timmis,Male,Support,54137.05,50K-100K,2019-10-25 00:00:00,1,Permanent,Remote,6.8,Full Time
16,TN00214,Devsena,,Veluvalapalli,Female,Training,37902.35,Under 50K,2019-12-24 00:00:00,1,Permanent,"Chennai, India",6.63,Full Time
